categroy_id,categroy_name,parent_id
079dd5e7f69841af95782b3d3904748c,"Body & Facial Hair Bleach",bc697d44db2246ff806dab8fb7b9cb3f
07a09944acc44bd99f289dbd2d188e6f,"Voice Recorders",45e1f90af225439f87d2db2f436edc1f
07a1f4f5d3724be7925c7d551094f5db,"Law Enforcement",d10653cd475741179bb820509956b205
07ae5a2f1df243949905442cbf8d7e00,Fans,ceba68b723e344c7bbb767a00c4d17c5
07b0868ec5fd45dfa5ead815ac14719b,"Gas Hoses",84f26e3ab9fc48d2beb0c15697c68385
07b228a007e247ddbf674c7b9a82abf3,"Nail Art Kits & Accessories",847af0be4e564eeab70deaaaf63e14b0
07bae78a83744e959369cf1f86adb078,"Bassoon Parts",19b247d8c70a41f09877764da140c120
07c14ac0eaa7474c933dbdc55719b278,"Kitchen Scrapers",f407c85bb1bf4f5baddaf2207a83b494
07ce298833604b2499672ea6cb1f7383,"Flash Brackets",7227db6be4be425a8092aed3d772f297
07e0338d67c140e9b2bff2a62de9345b,"Gymnastics Springboards",f8b81d159ba14760906494bdd913d9b0
07e934e7ad2643a2852195b863770bd0,"Video Players & Recorders",748fbbea094e4ee391a7bd30875db030
07e9fdd05a804c47ae9016e625c5ca71,"Butterfly Houses",176d41cb321641749b41e5e0e67ceec2
080ac1ad22f94d9c84b39470ea9ea931,"Elliptical Trainers",e417a8c319ce48b28e2cba0a02cd5d5a
082260613ae3435fa59f435e4eb5404a,"Tow-Behind Mowers",763f2238e974432898ff8b4f49f9eeb2
08301baef30b4be79dcf47d108f24d3d,"Photographic Analyzers",e7eac48a1d30469e9f1b94301f7362d0
083d2f79911243858efa72561a9275cf,"Buoyancy Compensators",b79fde44fc5d4280ad3b181fdd9c576f
084b2d45495e4f63a4720e31f9e7e0fc,"Toothbrush Covers",e2f9ced7189b47a689d64b8026bd8829
0855bc2512d249e2b822a2aaee092ed7,"Security Uniforms",f39060334e064f2ab164b29b43bd89b9
0858450b39454d069018a10831832259,"PDA Batteries",f02fd715604e49d997a5a5fce90ec58f
085bcdc1ec3f4c4995e27f483ff5fcb4,"Gun Cleaning Cloths & Swabs",441e03867ca342c7803f0254bc724bd7
08682a10482f4590b2848282955f5214,"Airsoft Guns",3b54e060665f4a36ade0a3eb6b8367f3
087900c0b1724fadbfcd2c369b891522,Tempeh,d396cc8d163d435abef822e5b56da376
0883b019285d40c9b7f362ae1daecc32,"Kitchen Knives",f407c85bb1bf4f5baddaf2207a83b494
088574fb444744cba130af8fa62a36a9,"Printer Duplexers",ffccdda2d7c64244b60fb03436d448d8
088e6b62d73840d79679021696f8fc13,Radishes,0f26d7bf23b84df4979915a4ca7810da
089a9f646765425da35b033dcef93e74,"Hair Wreaths",1a64df482e4c4e42849f58b0972e5192
08a7feb821cc4b2bb645634c605bb28c,"Plumbing Fixture Hardware & Parts",3b5187281711489c88953a571fc0bb47
